Metric,2023,2024,2025,2026,2027,2028,2029,2030
Grade A,7,7,8,8,9,9,9,10
Grade B,60,63,66,70,73,77,81,85
Grade C,303,319,335,352,370,389,409,430
Grade D,554,582,612,644,677,711,748,786
Grade E,475,499,525,552,580,610,641,674
Grade F,412,433,455,479,503,529,556,585
Grade G,229,241,253,266,280,294,309,325
