Metric,2023,2024,2025,2026,2027,2028,2029,2030
Solar PV,100,122,149,182,223,272,332,406
Solar thermal (water),8,10,12,15,18,22,27,32
Wind,2000,2443,2984,3644,4451,5437,6640,8110
Hydro,5000,6107,7459,9111,11128,13591,16601,20276
Tidal,0,,,,,,,
Biomass,4000,4886,5967,7288,8902,10873,13280,16221
"Heat recovery (e.g. air, water)",1,1,1,2,2,3,3,4
Heat pumps (airsource + geothermal),500000,610701,745912,911059,1112770,1359141,1660058,2027600
