Metric,2023,2024,2025,2026,2027,2028,2029,2030
Cavity wall Insulation,718827,877977,1072364,1309788,1599779,1953974,2386590,2914987
Internal/Solid wall insulation,3313304,4046879,4942869,6037234,7373894,9006494,11000557,13436110
Floor insulation,3150789,3848382,4700425,5741112,7012210,8564732,10460988,12777079
"Loft, Roof & Ceiling Insulation",1737621,2122335,2592226,3166152,3867147,4723344,5769105,7046401
Lighting (switch to LEDs),96013,117271,143235,174947,213681,260990,318774,389352
Heat pump installation,8300000,10137643,12382145,15123586,18471990,22561739,27556970,33658160
Solar PV installation,7400000,9038380,11039503,13483679,16469003,20115286,24568865,30008480
