Metric,2023
Cavity wall Insulation,718827
Internal/Solid wall insulation,3313304
Floor insulation,3150789
"Loft, Roof & Ceiling Insulation",1737621
Lighting (switch to LEDs),96013
Heat pump installation,8300000
Solar PV installation,7400000
