Metric,2023,2024,2025,2026,2027,2028,2029,2030
Cavity wall Insulation,467237.55,570685,697037,851362,1039856,1270083,1551283,1894742
Internal/Solid wall insulation,2153647.6,2630471,3212865,3924202,4793031,5854221,7150362,8733472
Floor insulation,2048012.85,2501449,3055276,3731723,4557936,5567076,6799642,8305102
"Loft, Roof & Ceiling Insulation",1129453.65,1379518,1684947,2057999,2513645,3070173,3749918,4580160
Lighting (switch to LEDs),62408.45,76226,93102,113716,138893,169644,207203,253079
Heat pump installation,5395000,6589468,8048394,9830331,12006793,14665130,17912031,21877804
Solar PV installation,4810000,5874947,7175677,8764391,10704852,13074936,15969762,19505512
